day;date;weekday;seasonfactor;holiday;tc_startcycle_mean;tc_startcycle_halfrange;tc_lastlightcycle;tc_startcycle_mean_stopover;tc_startcycle_halfrange_stopover;possible_winter
240;28.8.;Mo;1.2105;0;48;47;144;64;61;0
241;29.8.;Tu;1.2105;0;48;47;144;64;61;0
242;30.8.;We;1.2105;0;48;47;144;64;61;0
243;31.8.;Th;1.2105;0;48;47;144;64;61;0
244;1.9.;Fr;1.2105;0;48;47;144;64;61;0
245;2.9.;Sa;1.2105;0;48;47;144;64;61;0
246;3.9.;Su;1.2105;0;48;47;144;64;61;0
247;4.9.;Mo;1.8421;0;48;47;144;64;61;0
248;5.9.;Tu;1.8421;0;48;47;144;64;61;0
249;6.9.;We;1.8421;0;48;47;144;64;61;0
250;7.9.;Th;1.8421;0;48;47;144;64;61;0
251;8.9.;Fr;1.8421;0;48;47;144;64;61;0
252;9.9.;Sa;1.8421;0;48;47;144;64;61;0
253;10.9.;Su;1.8421;0;48;47;144;64;61;0
254;11.9.;Mo;1.5789;0;48;47;144;64;61;0
255;12.9.;Tu;1.5789;0;48;47;144;64;61;0
256;13.9.;We;1.5789;0;48;47;144;64;61;0
257;14.9.;Th;1.5789;0;48;47;144;64;61;0
258;15.9.;Fr;1.5789;0;48;47;144;64;61;0
259;16.9.;Sa;1.5789;0;48;47;144;64;61;0
260;17.9.;Su;1.5789;0;48;47;144;64;61;0
261;18.9.;Mo;2.0526;0;48;48;144;64;62;0
262;19.9.;Tu;2.0526;0;48;47;144;64;61;0
263;20.9.;We;2.0526;0;48;47;144;64;61;0
264;21.9.;Th;2.0526;0;48;47;144;64;61;0
265;22.9.;Fr;2.0526;0;48;46;144;64;59;0
266;23.9.;Sa;2.0526;0;48;46;144;64;59;0
267;24.9.;Su;2.0526;0;48;46;144;64;59;0
268;25.9.;Mo;1.8947;0;48;45;144;64;58;0
269;26.9.;Tu;1.8947;0;48;45;144;64;58;0
270;27.9.;We;1.8947;0;48;45;144;64;58;0
271;28.9.;Th;1.8947;0;48;44;144;64;57;0
272;29.9.;Fr;1.8947;0;48;44;144;64;57;0
273;30.9.;Sa;1.8947;0;48;44;144;64;57;0
274;1.10.;Su;1.8947;0;48;43;143;64;55;0
275;2.10.;Mo;2.4737;0;48;43;143;64;55;0
276;3.10.;Tu;2.4737;1;48;43;142;64;55;0
277;4.10.;We;2.4737;0;48;42;142;64;54;0
278;5.10.;Th;2.4737;0;48;42;141;64;54;0
279;6.10.;Fr;2.4737;0;48;42;141;64;54;0
280;7.10.;Sa;2.4737;0;48;41;141;64;53;0
281;8.10.;Su;2.4737;0;48;41;140;64;53;0
282;9.10.;Mo;1.5789;0;48;41;140;64;53;0
283;10.10.;Tu;1.5789;0;48;40;139;64;52;0
284;11.10.;We;1.5789;0;48;40;139;64;52;0
285;12.10.;Th;1.5789;0;48;40;138;64;52;0
286;13.10.;Fr;1.5789;0;48;39;138;64;50;0
287;14.10.;Sa;1.5789;0;48;39;137;64;50;0
288;15.10.;Su;1.5789;0;48;39;137;64;50;0
289;16.10.;Mo;2.0000;0;48;38;137;64;49;0
290;17.10.;Tu;2.0000;0;48;38;136;64;49;0
291;18.10.;We;2.0000;0;48;38;136;64;49;0
292;19.10.;Th;2.0000;0;48;37;135;64;48;0
293;20.10.;Fr;2.0000;0;48;37;135;64;48;0
294;21.10.;Sa;2.0000;0;48;37;134;64;48;0
295;22.10.;Su;2.0000;0;48;36;134;64;46;0
296;23.10.;Mo;2.2632;0;48;36;134;64;46;0
297;24.10.;Tu;2.2632;0;48;36;133;64;46;0
298;25.10.;We;2.2632;0;48;35;133;64;45;0
299;26.10.;Th;2.2632;0;48;35;132;64;45;0
300;27.10.;Fr;2.2632;0;48;35;132;64;45;0
301;28.10.;Sa;2.2632;0;48;34;132;64;44;0
302;29.10.;Su;2.2632;0;48;46;119;64;59;0
303;30.10.;Mo;1.8421;0;48;45;119;64;58;0
304;31.10.;Tu;1.8421;1;48;45;119;64;58;0
305;1.1.;We;1.8421;0;48;45;118;64;58;0
306;2.11.;Th;1.8421;0;48;44;118;64;57;0
307;3.11.;Fr;1.8421;0;48;44;117;64;57;0
308;4.11.;Sa;1.8421;0;48;44;117;64;57;0
309;5.11.;Su;1.8421;0;48;43;117;64;55;0
310;6.11.;Mo;1.5789;0;48;43;116;64;55;0
311;7.11.;Tu;1.5789;0;48;43;116;64;55;0
312;8.11.;We;1.5789;0;48;42;116;64;54;0
313;9.11.;Th;1.5789;0;48;42;115;64;54;0
314;10.11.;Fr;1.5789;0;48;42;115;64;54;0
315;11.11.;Sa;1.5789;0;48;41;115;64;53;0
316;12.11.;Su;1.5789;0;48;41;115;64;53;0
317;13.11.;Mo;2.2105;0;48;41;114;64;53;0
318;14.11.;Tu;2.2105;0;48;40;114;64;52;0
319;15.11.;We;2.2105;0;48;40;114;64;52;0
320;16.11.;Th;2.2105;0;48;39;113;64;50;0
321;17.11.;Fr;2.2105;0;48;39;113;64;50;0
322;18.11.;Sa;2.2105;0;48;39;113;64;50;0
323;19.11.;Su;2.2105;0;48;38;113;64;49;0
324;20.11.;Mo;1.0526;0;48;38;112;64;49;0
325;21.11.;Tu;1.0526;0;48;38;112;64;49;0
326;22.11.;We;1.0526;0;48;37;112;64;48;0
327;23.11.;Th;1.0526;0;48;37;112;64;48;0
328;24.11.;Fr;1.0526;0;48;37;112;64;48;0
329;25.11.;Sa;1.0526;0;48;37;111;64;48;0
330;26.11.;Su;1.0526;0;48;36;111;64;46;0
331;27.11.;Mo;1.1053;0;48;36;111;64;46;0
332;28.11.;Tu;1.1053;0;48;36;111;64;46;0
333;29.11.;We;1.1053;0;48;35;111;64;45;0
334;30.11.;Th;1.1053;0;48;35;111;64;45;0
335;1.12.;Fr;1.1053;0;48;35;111;64;45;0
336;2.12.;Sa;1.1053;0;48;35;110;64;45;0
337;3.12.;Su;1.1053;0;48;34;110;64;44;0
338;4.12.;Mo;1.2105;0;48;34;110;64;44;0
339;5.12.;Tu;1.2105;0;48;34;110;64;44;0
340;6.12.;We;1.2105;0;48;34;110;64;44;0
341;7.12.;Th;1.2105;0;48;33;110;64;42;0
342;8.12.;Fr;1.2105;0;48;33;110;64;42;0
343;9.12.;Sa;1.2105;0;48;33;110;64;42;0
344;10.12.;Su;1.2105;0;48;33;110;64;42;0
345;11.12.;Mo;1.2105;0;48;32;110;64;41;0
346;12.12.;Tu;1.2105;0;48;32;110;64;41;0
347;13.12.;We;1.2105;0;48;32;110;64;41;0
348;14.12.;Th;1.2105;0;48;32;110;64;41;0
349;15.12.;Fr;1.2105;0;48;32;110;64;41;1
350;16.12.;Sa;1.2105;0;48;32;110;64;41;1
351;17.12.;Su;1.2105;0;48;31;110;64;40;1
352;18.12.;Mo;1.3158;0;48;31;110;64;40;1
353;19.12.;Tu;1.3158;0;48;31;110;64;40;1
354;20.12.;We;1.3158;0;48;31;110;64;40;1
355;21.12.;Th;1.3158;0;48;31;110;64;40;1
356;22.12.;Fr;1.3158;0;48;31;110;64;40;1
357;23.12.;Sa;1.3158;0;48;31;111;64;40;1
358;24.12.;Su;1.3158;0;48;31;111;64;40;1
359;25.12.;Mo;1.3158;1;48;31;111;64;40;1
360;26.12.;Tu;1.3158;1;48;31;111;64;40;1
361;27.12.;We;1.3158;0;48;31;111;64;40;1
362;28.12.;Th;1.3158;0;48;31;111;64;40;1
363;29.12.;Fr;1.3158;0;48;31;111;64;40;1
364;30.12.;Sa;1.3158;0;48;31;112;64;40;1
365;31.12.;Su;1.3158;0;48;31;112;64;40;1
